name,synth,flatten,extract_fa,abc_script,area,delay,module,type1,type2,bitwidth,const_v,is_const,adder_1_area,adder_2_area,adder_1_delay,adder_2_delay
n_2_input/low_level_2_adder_2_2.v,0,1,1,7,0.4374,54.23,2,low,adder,2,2,False,0.33534,0.33534,41.99,41.99
n_2_input/low_level_2_adder_2_2.v,1,0,0,0,1.6767,115.59,2,low,adder,2,2,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_2.v,1,0,0,1,1.72044,125.15,2,low,adder,2,2,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_2.v,1,0,0,2,1.6767,108.73,2,low,adder,2,2,False,0.64152,0.64152,38.66,38.66
n_2_input/low_level_2_adder_2_2.v,1,0,0,3,1.77876,119.99,2,low,adder,2,2,False,0.64152,0.64152,38.66,38.66
n_2_input/low_level_2_adder_2_2.v,1,0,0,4,1.77876,109.84,2,low,adder,2,2,False,0.64152,0.64152,38.66,38.66
n_2_input/low_level_2_adder_2_2.v,1,0,0,5,1.98288,124.14,2,low,adder,2,2,False,0.71442,0.729,45.58,55.27
n_2_input/low_level_2_adder_2_2.v,1,0,0,6,1.72044,117.12,2,low,adder,2,2,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_2.v,1,0,0,7,1.72044,115.36,2,low,adder,2,2,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_2.v,1,0,1,0,1.54548,149.55,2,low,adder,2,2,False,0.55404,0.55404,75.14,70.26
n_2_input/low_level_2_adder_2_2.v,1,0,1,1,1.32678,131.52,2,low,adder,2,2,False,0.55404,0.55404,70.26,70.26
n_2_input/low_level_2_adder_2_2.v,1,0,1,2,1.32678,126.12,2,low,adder,2,2,False,0.33534,0.55404,39.12,66.61
n_2_input/low_level_2_adder_2_2.v,1,0,1,3,1.3851,121.31,2,low,adder,2,2,False,0.33534,0.55404,39.12,70.26
n_2_input/low_level_2_adder_2_2.v,1,0,1,4,1.6038,146.39,2,low,adder,2,2,False,0.33534,0.55404,39.12,66.61
n_2_input/low_level_2_adder_2_2.v,1,0,1,5,1.41426,126.58,2,low,adder,2,2,False,0.33534,0.55404,39.12,66.61
n_2_input/low_level_2_adder_2_2.v,1,0,1,6,1.54548,155.05,2,low,adder,2,2,False,0.55404,0.55404,75.14,66.61
n_2_input/low_level_2_adder_2_2.v,1,0,1,7,1.54548,149.45,2,low,adder,2,2,False,0.33534,0.55404,41.99,70.26
n_2_input/low_level_2_adder_2_2.v,1,1,0,0,0.45198,39.13,2,low,adder,2,2,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_2.v,1,1,0,1,0.49572,35.74,2,low,adder,2,2,False,0.64152,0.64152,38.66,38.66
n_2_input/low_level_2_adder_2_2.v,1,1,0,2,0.45198,39.13,2,low,adder,2,2,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_2.v,1,1,0,3,0.61236,39.99,2,low,adder,2,2,False,0.61236,0.64152,35.4,38.66
n_2_input/low_level_2_adder_2_2.v,1,1,0,4,0.61236,39.99,2,low,adder,2,2,False,0.64152,0.64152,38.66,38.66
n_2_input/low_level_2_adder_2_2.v,1,1,0,5,0.69984,51.78,2,low,adder,2,2,False,0.729,0.729,55.27,55.27
n_2_input/low_level_2_adder_2_2.v,1,1,0,6,0.45198,39.13,2,low,adder,2,2,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_2.v,1,1,0,7,0.45198,39.13,2,low,adder,2,2,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_2.v,1,1,1,0,0.93312,124.19,2,low,adder,2,2,False,0.33534,0.55404,37.1,70.26
n_2_input/low_level_2_adder_2_2.v,1,1,1,1,0.99144,153.08,2,low,adder,2,2,False,0.55404,0.55404,75.14,66.61
n_2_input/low_level_2_adder_2_2.v,1,1,1,2,0.99144,153.08,2,low,adder,2,2,False,0.33534,0.55404,39.12,66.61
n_2_input/low_level_2_adder_2_2.v,1,1,1,3,0.93312,126.51,2,low,adder,2,2,False,0.33534,0.55404,39.12,70.26
n_2_input/low_level_2_adder_2_2.v,1,1,1,4,0.93312,126.51,2,low,adder,2,2,False,0.55404,0.55404,70.26,70.26
n_2_input/low_level_2_adder_2_2.v,1,1,1,5,0.93312,126.51,2,low,adder,2,2,False,0.33534,0.55404,41.99,75.14
n_2_input/low_level_2_adder_2_2.v,1,1,1,6,0.99144,162.49,2,low,adder,2,2,False,0.55404,0.55404,75.14,66.61
n_2_input/low_level_2_adder_2_2.v,1,1,1,7,0.99144,157.98,2,low,adder,2,2,False,0.55404,0.55404,70.26,70.26
n_2_input/low_level_2_adder_2_3.v,0,0,0,0,1.6767,128.04,3,low,adder,2,1,False,0.59778,0.59778,36.24,36.24
n_2_input/low_level_2_adder_2_3.v,0,0,0,1,1.6767,128.04,3,low,adder,2,1,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_3.v,0,0,0,2,1.6767,129.99,3,low,adder,2,1,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_3.v,0,0,0,3,1.77876,112.04,3,low,adder,2,1,False,0.61236,0.64152,35.37,39.39
n_2_input/low_level_2_adder_2_3.v,0,0,0,4,1.7496,104.49,3,low,adder,2,1,False,0.61236,0.64152,35.37,39.39
n_2_input/low_level_2_adder_2_3.v,0,0,0,5,1.98288,123.36,3,low,adder,2,1,False,0.71442,0.729,45.88,53.24
n_2_input/low_level_2_adder_2_3.v,0,0,0,6,1.6767,128.04,3,low,adder,2,1,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_3.v,0,0,0,7,1.72044,117.21,3,low,adder,2,1,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_3.v,0,0,1,0,1.10808,145.57,3,low,adder,2,1,False,0.33534,0.33534,37.1,39.12
n_2_input/low_level_2_adder_2_3.v,0,0,1,1,1.10808,140.83,3,low,adder,2,1,False,0.33534,0.33534,39.12,37.1
n_2_input/low_level_2_adder_2_3.v,0,0,1,2,1.10808,148.48,3,low,adder,2,1,False,0.33534,0.33534,41.99,37.1
n_2_input/low_level_2_adder_2_3.v,0,0,1,3,1.1664,132.25,3,low,adder,2,1,False,0.33534,0.33534,39.12,39.12
n_2_input/low_level_2_adder_2_3.v,0,0,1,4,1.1664,128.12,3,low,adder,2,1,False,0.33534,0.33534,39.12,39.12
